bike_id,start_time,start_station_id,end_time,end_station_id,duration_sec,user_type,member_age,member_gender
4036,1527836548,118,1527837055,141,507,0,46,0
1607,1527836557,36,1527836841,81,283,0,31,0
1701,1527836558,95,1527837790,17,1231,0,45,0
3848,1527836592,41,1527837084,113,491,0,53,0
3800,1527836617,30,1527837008,27,391,0,42,0
3931,1527836663,350,1527837464,70,801,0,24,0
2618,1527836711,98,1527837130,41,418,0,53,0
1202,1527836968,105,1527837088,119,119,0,28,0
116,1527836993,21,1527837181,14,187,0,37,0
3934,1527837028,119,1527837236,107,208,0,37,0
