start_station_name,latitude,longitude
"Eureka Valley Recreation Center",37.7591769,-122.4369431
"Folsom St at 3rd St",37.78383,-122.39887
"Sanchez St at 15th St",37.7662185,-122.4310597
"Golden Gate Ave at Polk St",37.78127,-122.41873999999999
"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.39528200000001
"8th St at Brannan St",37.77143136292109,-122.40578681230544
"Valencia St at 16th St",37.765052000000004,-122.42186609999999
"16th St at Prosper St",37.764285,-122.43180420000002
"18th St at Noe St",37.7610471,-122.43264170000002
"Montgomery St BART Station (Market St at 2nd St)",37.7896254,-122.400811
