,station_id,station_name,latitude,longitude,neighborhood,zipcode
0,118,Eureka Valley Recreation Center,37.7591769,-122.4369431,The Castro,94114
1,141,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999,Bernal Heights,94110
2,36,Folsom St at 3rd St,37.78383,-122.39887,South of Market,94103
3,81,Berry St at 4th St,37.77588,-122.39317,China Basin,94107
4,95,Sanchez St at 15th St,37.7662185,-122.4310597,The Castro,94114
5,17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,South of Market,94105
6,41,Golden Gate Ave at Polk St,37.78127,-122.41873999999999,Civic Center,94102
7,113,Franklin Square,37.764555,-122.41034499999999,Mission District,94110
8,30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.39528200000001,Mission Bay,94107
9,27,Beale St at Harrison St,37.7880593,-122.39186480000001,Rincon Hill,94105
10,350,8th St at Brannan St,37.77143136292109,-122.40578681230544,Mission Bay,94103
11,70,Central Ave at Fell St,37.77331087889723,-122.44429260492323,North of the Panhandle,94117
12,98,Valencia St at 16th St,37.765052000000004,-122.42186609999999,Mission Dolores,94103
14,105,16th St at Prosper St,37.764285,-122.43180420000002,The Castro,94114
15,119,18th St at Noe St,37.7610471,-122.43264170000002,The Castro,94114
16,21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,South of Market,94104
17,14,Clay St at Battery St,37.795001,-122.39997,Financial District,94111
19,107,17th St at Dolores St,37.7630152,-122.42649679999998,Mission Dolores,94114
